platform_id,name
8265,HOLBORN CENTRAL EB                 
8057,ST PAULS WB                        
8472,CAMDEN TOWN EDGWARE NB             
7714,BELSIZE PARK SB                    
7584,AMERSHAM MET DEPS SB               
7583,CHESHAM DEPS SB                    
7579,CHORLEYWOOD NB                     
7640,QUEENSBURY NB                      
7644,STANMORE JUB DEPS SB               
7850,MANSION HOUSE DISTRICT EB          
8409,MONUMENT DISTRICT WB               
7848,MANSION HOUSE CIRCLE IR            
8407,MONUMENT CIRCLE OR                 
7746,MORNINGTON CRESCENT NB             
8170,EUSTON NORTHERN CITY NB            
7716,CHALK FARM SB                      
7743,KENTISH TOWN NORTHERN SB           
8155,KINGS CROSS PICCADILLY EB          
7942,HOLLOWAY ROAD WB                   
7701,COLINDALE NB                       
7698,EDGWARE DEPS SB                    
8448,WOODFORD to EPPING EB              
8005,LOUGHTON WB                        
7833,BOW ROAD DISTRICT EB               
7824,WEST HAM DISTRICT WB               
7835,BOW ROAD H&C EB                    
7826,WEST HAM H&C WB                    
7709,GOLDERS GREEN NB                   
7704,HENDON CENTRAL SB                  
8397,MILE END DISTRICT EB               
7830,BROMLEY-BY-BOW DISTRICT WB         
8513,MILE END H&C EB                    
7832,BROMLEY-BY-BOW H&C WB              
7933,WOOD GREEN EB                      
7930,ARNOS GROVE WB                     
7978,OSTERLEY EB                        
7975,NORTHFIELDS WB                     
8208,ELEPHANT/CASTLE NORTHERN NB        
7757,LONDON BRIDGE NORTHERN SB          
8060,MARBLE ARCH EB                     
8182,OXFORD CIRCUS CENTRAL WB           
8185,GREEN PARK JUBILEE NB              
8237,BAKER ST JUBILEE SB                
8109,TOTTENHAM HALE VICTORIA NB         
8102,WALTHAMSTOW C VICTORIA DEPS SB     
7860,TEMPLE DISTRICT EB                 
7851,MANSION HOUSE DISTRICT WB          
7858,TEMPLE CIRCLE IR                   
7849,MANSION HOUSE CIRCLE OR            
8373,LIVERPOOL ST CENTRAL EB            
8400,MILE END CENTRAL WB                
7715,CHALK FARM NB                      
7712,HAMPSTEAD SB                       
7804,UPNEY EB                           
7801,DAGENHAM HEATHWAY WB               
8423,NOTTING HILL GATE DIST EB          
8255,PADDINGTON DISTRICT WB             
8252,PADDINGTON CIRCLE IR               
8422,NOTTING HILL GATE CIRCLE OR        
8313,HAMMERSMITH D/P DISTRICT EB        
7902,WEST KENSINGTON WB                 
8311,HAMMERSMITH D/P PICC EB            
8295,EARLS COURT PICCADILLY WB          
8032,NEWBURY PARK EB                    
8029,FAIRLOP WB                         
7811,EAST HAM DISTRICT EB               
7805,UPNEY WB                           
8056,ST PAULS EB                        
8374,LIVERPOOL ST CENTRAL WB            
7845,CANNON STREET DISTRICT EB          
8404,TOWER HILL DISTRICT WB             
7756,LONDON BRIDGE NORTHERN NB          
8463,MOORGATE NORTHERN SB               
7843,CANNON STREET CIRCLE IR            
8402,TOWER HILL CIRCLE OR               
7777,TOOTING BEC NB                     
7772,CLAPHAM SOUTH SB                   
7618,REGENTS PARK NB                    
7646,MARYLEBONE BAKERLOO SB             
8261,BOND STREET JUBILEE NB             
7621,ST JOHN'S WOOD SB                  
8367,EDGWARE RD H&C H&C EB              
8499,GREAT PORTLAND ST H&C WB           
8490,FINCHLEY RD MET SB                 
8500,GREAT PORTLAND ST MET NB           
8496,GREAT PORTLAND ST CIRCLE IR        
